bairro,alteracao_mensal,preco_m2,preco_medio
Vila Nova Manchester,-0.01%,R$ 5.976,R$ 669.842
Vila Nova Caledônia,-0.06%,R$ 5.974,R$ 1.620.230
Vila Cunha Bueno,+1.08%,R$ 5.956,R$ 376.190
Vila Mazzei,+0.21%,R$ 5.954,R$ 545.944
Vila Siqueira Zona Norte,-0.09%,R$ 5.948,R$ 419.544
Vila Invernada,+0.96%,R$ 5.939,R$ 653.640
Vila Antonina,+0.56%,R$ 5.931,R$ 553.125
Jardim América da Penha,+0.64%,R$ 5.929,R$ 377.478
Conjunto Residencial Jardim Canaã,+1.21%,R$ 5.928,R$ 620.226
Jardim Textil,+0.75%,R$ 5.915,R$ 1.144.741
Vila Moinho Velho,-0.01%,R$ 5.912,R$ 696.329
Imirim,+0.46%,R$ 5.901,R$ 585.331
Cidade Vargas,-0.01%,R$ 5.895,R$ 959.219
Vila Leonor,+1.29%,R$ 5.891,R$ 689.697
Vila Lúcia,+0.20%,R$ 5.884,R$ 771.619
Jardim Olympia,+0.64%,R$ 5.880,R$ 780.412
Jardim Promissão,+0.14%,R$ 5.873,R$ 590.445
Parque Boturussu,-3.27%,R$ 5.862,R$ 445.919
Jabaquara,-0.80%,R$ 5.857,R$ 701.185
Vila Guilhermina,+0.96%,R$ 5.857,R$ 508.351
Lapa de Baixo,-0.16%,R$ 5.845,R$ 484.126
Parque Mandaqui,+0.16%,R$ 5.844,R$ 646.268
Vila Bela,+0.18%,R$ 5.836,R$ 463.004
City América,+0.33%,R$ 5.832,R$ 1.708.560
Vila São Paulo,+0.38%,R$ 5.822,R$ 543.263
Super Quadra Morumbi,-0.54%,R$ 5.821,R$ 1.277.167
Vila Mangalot,+0.75%,R$ 5.820,R$ 486.120
Jardim Leonor Mendes de Barros,+0.51%,R$ 5.815,R$ 1.010.264
Itaberaba,+0.77%,R$ 5.799,R$ 720.158
Vila Aricanduva,-0.09%,R$ 5.797,R$ 556.839
Jardim Londrina,+0.49%,R$ 5.795,R$ 844.456
Sítio da Figueira,+0.91%,R$ 5.794,R$ 642.115
Jardim Luanda,+0.37%,R$ 5.792,R$ 550.841
Jardim Peri Peri,+0.47%,R$ 5.782,R$ 992.950
Vila Maria Baixa,-0.44%,R$ 5.782,R$ 673.395
Vila Brasilândia,+0.38%,R$ 5.760,R$ 367.948
Jardim Colombo,-0.20%,R$ 5.756,R$ 1.072.019
Guaiaúna,+0.40%,R$ 5.745,R$ 391.482
Parque Independência,+1.12%,R$ 5.727,R$ 556.088
Vila Arriete,+0.50%,R$ 5.721,R$ 546.763
Vila Campestre,-0.74%,R$ 5.715,R$ 448.353
Vila São Pedro,+0.32%,R$ 5.713,R$ 517.577
Vila Zelina,+0.30%,R$ 5.703,R$ 952.449
Vila Aurora,-0.46%,R$ 5.680,R$ 549.107
Vila do Encontro,+0.36%,R$ 5.677,R$ 442.550
Vila Paranaguá,-2.00%,R$ 5.677,R$ 395.174
Jardim Franca,+0.11%,R$ 5.675,R$ 1.721.409
Vila Nova Cachoeirinha,+0.49%,R$ 5.675,R$ 464.816
Vila Marina,+1.16%,R$ 5.673,R$ 374.895
Vila Oratório,+0.38%,R$ 5.667,R$ 766.236
Vila Esperança,-0.12%,R$ 5.666,R$ 445.149
Vila Nivi,+1.15%,R$ 5.664,R$ 530.334
Parque Vitória,+0.63%,R$ 5.659,R$ 559.011
Vila Isolina Mazzei,+0.27%,R$ 5.645,R$ 663.501
Vila Roque,+0.37%,R$ 5.640,R$ 499.285
Jardim Sabará,+0.90%,R$ 5.632,R$ 513.593
Água Rasa,+0.25%,R$ 5.628,R$ 1.036.092
Vila Amélia,-0.91%,R$ 5.628,R$ 405.010
Jardim Esmeralda,+0.66%,R$ 5.618,R$ 468.252
Sítio do Mandaqui,+0.59%,R$ 5.613,R$ 427.658
Vila Cruz das Almas,-0.17%,R$ 5.606,R$ 393.686
Vila Matilde,+0.21%,R$ 5.603,R$ 586.726
Vila Ema,+0.29%,R$ 5.600,R$ 467.130
Moinho Velho,+0.98%,R$ 5.586,R$ 516.739
Vila das Belezas,+0.75%,R$ 5.586,R$ 382.088
Parque Continental,-3.54%,R$ 5.577,R$ 998.080
Barro Branco,+0.45%,R$ 5.563,R$ 1.142.890
Jardim Felicidade Zona Oeste,+0.68%,R$ 5.562,R$ 643.333
Vila Irmãos Arnoni,-0.28%,R$ 5.544,R$ 994.841
Vila Granada,-0.44%,R$ 5.539,R$ 487.169
Vila Santa Clara,+0.36%,R$ 5.526,R$ 582.078
Jardim Parque Morumbi,+0.44%,R$ 5.503,R$ 501.506
Vila Palmeiras,+0.16%,R$ 5.499,R$ 524.039
Vila Barreto,-1.06%,R$ 5.490,R$ 589.873
Parque Bairro Morumbi,+0.53%,R$ 5.489,R$ 944.497
Parque Maria Domitila,+0.27%,R$ 5.486,R$ 558.876
Jardim da Campina,-0.96%,R$ 5.484,R$ 554.306
Parque Maria Helena,+1.03%,R$ 5.484,R$ 376.893
Vila Penteado,-0.13%,R$ 5.478,R$ 394.103
Vila Mira,+2.02%,R$ 5.473,R$ 448.214
Jardim Monjolo,+0.09%,R$ 5.460,R$ 618.858
Vila Santana,+0.27%,R$ 5.456,R$ 502.322
Jardim Nosso Lar,+0.42%,R$ 5.451,R$ 565.634
Piqueri,-0.07%,R$ 5.439,R$ 521.360
Jardim Ester,-0.29%,R$ 5.424,R$ 462.091
Vila São Francisco Zona Leste,+2.69%,R$ 5.420,R$ 465.337
Vila Santa Isabel,+0.07%,R$ 5.403,R$ 598.805
Parque Peruche,-0.36%,R$ 5.402,R$ 667.783
Vila Romero,+0.45%,R$ 5.402,R$ 769.151
Jardim Bonfiglioli,+0.42%,R$ 5.401,R$ 777.918
Jardim Oriental,+0.15%,R$ 5.401,R$ 605.856
Vila Antonieta,+0.70%,R$ 5.386,R$ 427.992
Vila Talarico,+0.42%,R$ 5.386,R$ 451.811
Conjunto Residencial Butantã,-0.90%,R$ 5.381,R$ 780.524
Vila Bruna,+1.04%,R$ 5.377,R$ 505.402
Parque Novo Mundo,-0.35%,R$ 5.374,R$ 526.101
Jardim Penha,-3.93%,R$ 5.359,R$ 424.474
Jardim Belém,-1.27%,R$ 5.355,R$ 348.719
Vila Constança,+1.34%,R$ 5.354,R$ 455.000
Vila Basileia,+0.32%,R$ 5.343,R$ 483.196
Jardim Santa Cruz Campo Grande,+0.43%,R$ 5.339,R$ 547.334
Chácara Tatuapé,-0.14%,R$ 5.323,R$ 1.087.318
Pirajussara,+1.15%,R$ 5.323,R$ 318.264
Vila Pereira Barreto,+0.33%,R$ 5.318,R$ 687.712
Jardim Boa Vista Zona Oeste,+1.00%,R$ 5.316,R$ 488.253
Jaçanã,-0.33%,R$ 5.313,R$ 402.740
Parque Císper,-4.29%,R$ 5.313,R$ 438.583
Vila Santa Terezinha,+0.03%,R$ 5.313,R$ 514.696
Penha de França,-0.06%,R$ 5.305,R$ 554.046
Vila Pirituba,+0.21%,R$ 5.304,R$ 514.438
Vila Paulo Silas,+0.70%,R$ 5.298,R$ 541.034
Jardim do Tiro,+0.45%,R$ 5.295,R$ 270.391
Parque Maria Luiza,+0.68%,R$ 5.290,R$ 438.083
Jardim Cidália,+0.90%,R$ 5.289,R$ 647.977
Loteamento City Jaragua,+0.37%,R$ 5.286,R$ 307.051
Vila Laís,-0.06%,R$ 5.286,R$ 592.170
Vila Inglesa,-0.61%,R$ 5.285,R$ 382.378
Vila Nova Savoia,+1.04%,R$ 5.284,R$ 554.414
Cupecê,+0.51%,R$ 5.281,R$ 619.035
Vila Alpina,-0.18%,R$ 5.270,R$ 525.109
Jardim Japão,+1.38%,R$ 5.255,R$ 781.063
Vila Vitório Mazzei,-0.23%,R$ 5.255,R$ 507.637
